BLOCK	TRANSECT	PLOT	MODULE	SUBMODULE	CORNER	SAMPLING_ID	SPECIES	SPECIES_CORRECTED	SPCODE	FREQUENCY	DATE	DATE_CORRECTED	>1M	CONERCONER	DATE OF FIRE	TIME SINCE FIRE (DAYS)	SPECIES_NEW_NAMES	NEW_SPCODE
F1	1	1	2	0.1	B	F1_1_1_2_0.1_B	PROSERPINACA PALUSTRIS     	PROSERPINACA PALUSTRIS	PROPAL	1	2/2/1998	2/2/1998						
F1	1	1	2	0.1	B	F1_1_1_2_0.1_B	RUELLIA CAROLINIENSIS     	RUELLIA CAROLINIENSIS	RUECAR	1	2/2/1998	2/2/1998						
F1	1	1	2	0.1	B	F1_1_1_2_0.1_B	SISYRINCHIUM MIAMIENSE     	SISYRINCHIUM MIAMIENSE	SISMIA	1	2/2/1998	2/2/1998						
F1	1	1	2	0.1	B	F1_1_1_2_0.1_B	DICHROMENA COLORATA      	DICHROMENA COLORATA	DICCOL	1	2/2/1998	2/2/1998					RHYNCHOSPORA COLORATA	RHYCOL
F1	1	1	2	0.3	B	F1_1_1_2_0.3_B	EUPATORIUM COELESTINUM   	EUPATORIUM COELESTINUM	EUPCOE	6	2/2/1998	2/2/1998						
F1	1	1	2	0.3	B	F1_1_1_2_0.3_B	ASTER DUMOSUS         	ASTER DUMOSUS	ASTDUM	4	2/2/1998	2/2/1998					SYMPHYOTRICHUM DUMOSUM	SYMDUM
F1	1	1	2	0.3	B	F1_1_1_2_0.3_B	CLADIUM JAMAICENSE       	CLADIUM JAMAICENSE	CLAJAM	3	2/2/1998	2/2/1998						
F1	1	1	2	0.3	B	F1_1_1_2_0.3_B	DICHROMENA COLORATA      	DICHROMENA COLORATA	DICCOL	2	2/2/1998	2/2/1998					RHYNCHOSPORA COLORATA	RHYCOL
F1	1	1	2	0.3	B	F1_1_1_2_0.3_B	DIODIA VIRGINIANA       	DIODIA VIRGINIANA	DIOVIR	5	2/2/1998	2/2/1998						
F1	1	1	2	0.3	B	F1_1_1_2_0.3_B	HYPERICUM HYPERICOIDES     	HYPERICUM HYPERICOIDES	HYPHYP	3	2/2/1998	2/2/1998						
F1	1	1	2	0.3	B	F1_1_1_2_0.3_B	HYPTIS ALATA          	HYPTIS ALATA	HYPALA	5	2/2/1998	2/2/1998						
F1	1	1	2	0.3	B	F1_1_1_2_0.3_B	JUSTICIA OVATA         	JUSTICIA OVATA	JUSOVA	4	2/2/1998	2/2/1998						
F1	1	1	2	0.3	B	F1_1_1_2_0.3_B	LUDWIGIA MICROCARPA      	LUDWIGIA MICROCARPA	LUDMIC	7	2/2/1998	2/2/1998						
F1	1	1	2	0.3	B	F1_1_1_2_0.3_B	MELANTHERA PARVIFOLIA     	MELANTHERA PARVIFOLIA	MELPAR	2	2/2/1998	2/2/1998					MELANTHERA NIVEA	MELNIV
F1	1	1	2	0.3	B	F1_1_1_2_0.3_B	MIKANIA SCANDENS        	MIKANIA SCANDENS	MIKSCA	2	2/2/1998	2/2/1998						
F1	1	1	2	0.3	B	F1_1_1_2_0.3_B	MUHLENBERGIA FILIPES      	MUHLENBERGIA FILIPES	MUHFIL	8	2/2/1998	2/2/1998					MUHLENBERGIA CAPILLARIS VAR. FILIPES	MUHCAPFIL
F1	1	1	2	0.3	B	F1_1_1_2_0.3_B	OXYPOLIS FILIFORMIS      	OXYPOLIS FILIFORMIS	OXYFIL	3	2/2/1998	2/2/1998					TIEDEMANNIA FILIFORMIS SUBSP. FILIFORMIS	TIEFILFIL
F1	1	1	2	0.3	B	F1_1_1_2_0.3_B	PLUCHEA ROSEA         	PLUCHEA ROSEA	PLUROS	2	2/2/1998	2/2/1998					PLUCHEA BACCHARIS	PLUBAC
F1	1	1	2	0.3	B	F1_1_1_2_0.3_B	PROSERPINACA PALUSTRIS     	PROSERPINACA PALUSTRIS	PROPAL	7	2/2/1998	2/2/1998						
F1	1	1	2	0.3	B	F1_1_1_2_0.3_B	RUELLIA CAROLINIENSIS     	RUELLIA CAROLINIENSIS	RUECAR	4	2/2/1998	2/2/1998						
F1	1	1	2	0.3	B	F1_1_1_2_0.3_B	SISYRINCHIUM MIAMIENSE     	SISYRINCHIUM MIAMIENSE	SISMIA	8	2/2/1998	2/2/1998						
F1	1	1	2	1	B	F1_1_1_2_1_B	ACACIA PINETORUM        	ACACIA PINETORUM	ACAPIN	1	2/2/1998	2/2/1998					VACHELLIA FARNESIANA VAR. PINETORUM	VACFARPIN
F1	1	1	2	1	B	F1_1_1_2_1_B	EUPATORIUM COELESTINUM   	EUPATORIUM COELESTINUM	EUPCOE	57	2/2/1998	2/2/1998						
F1	1	1	2	1	B	F1_1_1_2_1_B	ASTER DUMOSUS         	ASTER DUMOSUS	ASTDUM	66	2/2/1998	2/2/1998					SYMPHYOTRICHUM DUMOSUM	SYMDUM
F1	1	1	2	1	B	F1_1_1_2_1_B	CENTELLA ASIATICA       	CENTELLA ASIATICA	CENASI	1	2/2/1998	2/2/1998						
F1	1	1	2	1	B	F1_1_1_2_1_B	CHLORIS RADIATA        	CHLORIS RADIATA	CHLRAD	2	2/2/1998	2/2/1998						
F1	1	1	2	1	B	F1_1_1_2_1_B	CLADIUM JAMAICENSE       	CLADIUM JAMAICENSE	CLAJAM	48	2/2/1998	2/2/1998						
F1	1	1	2	1	B	F1_1_1_2_1_B	CYNOCTONUM MITREOLA         	CYNOCTONUM MITREOLA	CYNMIT	1	2/2/1998	2/2/1998						
F1	1	1	2	1	B	F1_1_1_2_1_B	DICHANTHELIUM ACICULARE        	DICHANTHELIUM ACICULARE	DICACI	2	2/2/1998	2/2/1998						
F1	1	1	2	1	B	F1_1_1_2_1_B	DICHROMENA COLORATA      	DICHROMENA COLORATA	DICCOL	17	2/2/1998	2/2/1998					RHYNCHOSPORA COLORATA	RHYCOL
F1	1	1	2	1	B	F1_1_1_2_1_B	DIODIA VIRGINIANA       	DIODIA VIRGINIANA	DIOVIR	29	2/2/1998	2/2/1998						
F1	1	1	2	1	B	F1_1_1_2_1_B	ELYTRARIA CAROLINIENSIS    	ELYTRARIA CAROLINIENSIS	ELYCAR	3	2/2/1998	2/2/1998						
F1	1	1	2	1	B	F1_1_1_2_1_B	ERIGERON QUERCIFOLIUS     	ERIGERON QUERCIFOLIUS	ERIQUE	2	2/2/1998	2/2/1998						
F1	1	1	2	1	B	F1_1_1_2_1_B	HYPERICUM HYPERICOIDES     	HYPERICUM HYPERICOIDES	HYPHYP	1	2/2/1998	2/2/1998						
F1	1	1	2	1	B	F1_1_1_2_1_B	HYPTIS ALATA          	HYPTIS ALATA	HYPALA	32	2/2/1998	2/2/1998						
F1	1	1	2	1	B	F1_1_1_2_1_B	IPOMOEA SAGITTATA       	IPOMOEA SAGITTATA	IPOSAG	17	2/2/1998	2/2/1998						
F1	1	1	2	1	B	F1_1_1_2_1_B	JUSTICIA OVATA         	JUSTICIA OVATA	JUSOVA	59	2/2/1998	2/2/1998						
F1	1	1	2	1	B	F1_1_1_2_1_B	LUDWIGIA MICROCARPA      	LUDWIGIA MICROCARPA	LUDMIC	26	2/2/1998	2/2/1998						
F1	1	1	2	1	B	F1_1_1_2_1_B	MELANTHERA PARVIFOLIA     	MELANTHERA PARVIFOLIA	MELPAR	61	2/2/1998	2/2/1998					MELANTHERA NIVEA	MELNIV
F1	1	1	2	1	B	F1_1_1_2_1_B	MIKANIA SCANDENS        	MIKANIA SCANDENS	MIKSCA	11	2/2/1998	2/2/1998						
F1	1	1	2	1	B	F1_1_1_2_1_B	MUHLENBERGIA FILIPES      	MUHLENBERGIA FILIPES	MUHFIL	70	2/2/1998	2/2/1998					MUHLENBERGIA CAPILLARIS VAR. FILIPES	MUHCAPFIL
F1	1	1	2	1	B	F1_1_1_2_1_B	PLUCHEA ROSEA         	PLUCHEA ROSEA	PLUROS	9	2/2/1998	2/2/1998					PLUCHEA BACCHARIS	PLUBAC
F1	1	1	2	1	B	F1_1_1_2_1_B	PROSERPINACA PALUSTRIS     	PROSERPINACA PALUSTRIS	PROPAL	66	2/2/1998	2/2/1998						
F1	1	1	2	1	B	F1_1_1_2_1_B	RUELLIA CAROLINIENSIS     	RUELLIA CAROLINIENSIS	RUECAR	23	2/2/1998	2/2/1998						
F1	1	1	2	1	B	F1_1_1_2_1_B	SALIX CAROLINIANA       	SALIX CAROLINIANA	SALCAR	50	2/2/1998	2/2/1998						
F1	1	1	2	1	B	F1_1_1_2_1_B	SISYRINCHIUM MIAMIENSE     	SISYRINCHIUM MIAMIENSE	SISMIA	25	2/2/1998	2/2/1998						
F1	1	1	2	1	B	F1_1_1_2_1_B	LUDWIGIA CURTISSII	LUDWIGIA CURTISSII	LUDCUR	2	2/2/1998	2/2/1998						
F1	1	1	2	3	B	F1_1_1_2_3_B	ANDROPOGON GLOMERATUS     	ANDROPOGON GLOMERATUS	ANDGLO	3	2/2/1998	2/2/1998						
F1	1	1	2	3	B	F1_1_1_2_3_B	BUMELIA RECLINATA       	BUMELIA RECLINATA	BUMREC	150	2/2/1998	2/2/1998						
F1	1	1	2	3	B	F1_1_1_2_3_B	LOBELIA GLANDULOSA       	LOBELIA GLANDULOSA	LOBGLA	2	2/2/1998	2/2/1998						
F1	1	1	2	3	B	F1_1_1_2_3_B	PERSEA BORBONIA        	PERSEA BORBONIA	PERBOR	1	2/2/1998	2/2/1998					PERSEA BORBONIA VAR. BORBONIA	PERBORBOR
F1	1	1	2	3	B	F1_1_1_2_3_B	POLYGONUM HYDROPIPEROIDES   	POLYGONUM HYDROPIPEROIDES	POLHYD	8	2/2/1998	2/2/1998					PERSICARIA HYDROPIPEROIDES	PERHYD
F1	1	1	2	3	B	F1_1_1_2_3_B	SPILANTHES AMERICANA         	SPILANTHES AMERICANA	SPIAME	1	2/2/1998	2/2/1998						
F1	1	1	2	3	B	F1_1_1_2_3_B	TEUCRIUM CANADENSE       	TEUCRIUM CANADENSE	TEUCAN	3	2/2/1998	2/2/1998						
F1	1	1	2	10	I	F1_1_1_2_10_I	FUIRENA BREVISETA       	FUIRENA BREVISETA	FUIBRE	5	3/6/1998	3/6/1998						
F1	1	1	2	10	I	F1_1_1_2_10_I	ILEX CASSINE          	ILEX CASSINE	ILECAS	40	3/6/1998	3/6/1998					ILEX CASSINE VAR. CASSINE	ILECASCAS
F1	1	1	2	10	I	F1_1_1_2_10_I	LUDWIGIA REPENS        	LUDWIGIA REPENS	LUDREP	466	3/6/1998	3/6/1998						
F1	1	1	2	10	I	F1_1_1_2_10_I	MYRICA CERIFERA        	MYRICA CERIFERA	MYRCER	3	3/6/1998	3/6/1998						
F1	1	1	2	10	I	F1_1_1_2_10_I	PANICUM VIRGATUM        	PANICUM VIRGATUM	PANVIR	51	3/6/1998	3/6/1998						
F1	1	1	2	10	I	F1_1_1_2_10_I	PERSEA BORBONIA        	PERSEA BORBONIA	PERBOR	300	3/6/1998	3/6/1998					PERSEA BORBONIA VAR. BORBONIA	PERBORBOR
F1	1	1	2	10	I	F1_1_1_2_10_I	POLYGALA GRANDIFLORA      	POLYGALA GRANDIFLORA	POLGRA	3	3/6/1998	3/6/1998					ASEMEIA VIOLACEA	ASEVIO
F1	1	1	2	10	I	F1_1_1_2_10_I	THELYPTERIS KUNTHII      	THELYPTERIS KUNTHII	THEKUN	39	3/6/1998	3/6/1998						
F1	1	1	3	0.1	A	F1_1_1_3_0.1_A	ASTER DUMOSUS         	ASTER DUMOSUS	ASTDUM	1	2/17/1998	2/17/1998					SYMPHYOTRICHUM DUMOSUM	SYMDUM
F1	1	1	3	0.1	A	F1_1_1_3_0.1_A	CENTELLA ASIATICA       	CENTELLA ASIATICA	CENASI	1	2/17/1998	2/17/1998						
F1	1	1	3	0.1	A	F1_1_1_3_0.1_A	CLADIUM JAMAICENSE       	CLADIUM JAMAICENSE	CLAJAM	1	2/17/1998	2/17/1998						
